record_id,location_id,source_id,time_of_record,visit_count,time_in_queue,assigned_employee_id
0,SoIl32582,SoIl32582224,"2021-01-01 09:10:00",1,15,12
1,KiRu28935,KiRu28935224,"2021-01-01 09:17:00",1,0,46
2,HaRu19752,HaRu19752224,"2021-01-01 09:36:00",1,62,40
3,AkLu01628,AkLu01628224,"2021-01-01 09:53:00",1,0,1
4,AkRu03357,AkRu03357224,"2021-01-01 10:11:00",1,28,14
5,KiRu29315,KiRu29315224,"2021-01-01 10:17:00",1,9,40
6,AkRu05234,AkRu05234224,"2021-01-01 10:18:00",1,0,30
7,KiRu28520,KiRu28520224,"2021-01-01 10:28:00",1,0,34
8,HaZa21742,HaZa21742224,"2021-01-01 10:37:00",1,0,6
9,AmDa12214,AmDa12214224,"2021-01-01 10:58:00",1,0,36
10,HaRu19725,HaRu19725224,"2021-01-01 11:04:00",1,0,16
11,KiRu26704,KiRu26704224,"2021-01-01 11:04:00",1,17,26
12,SoRu35008,SoRu35008224,"2021-01-01 11:04:00",1,240,1
13,AkKi00851,AkKi00851224,"2021-01-01 11:14:00",1,0,32
14,AmDa11956,AmDa11956224,"2021-01-01 11:16:00",1,0,6
15,SoRu35703,SoRu35703224,"2021-01-01 11:29:00",1,0,32
16,HaRu17502,HaRu17502224,"2021-01-01 11:33:00",1,0,48
17,AkHa00070,AkHa00070224,"2021-01-01 11:42:00",1,0,40
18,HaSe21263,HaSe21263224,"2021-01-01 11:51:00",1,0,12
19,HaSe21346,HaSe21346224,"2021-01-01 11:52:00",1,0,30
20,KiHa23304,KiHa23304224,"2021-01-01 12:00:00",1,20,30
21,KiRu26190,KiRu26190224,"2021-01-01 12:00:00",1,171,46
22,HaYa21468,HaYa21468224,"2021-01-01 12:03:00",1,0,8
23,HaSe21154,HaSe21154224,"2021-01-01 12:12:00",1,0,7
24,AmRu14009,AmRu14009224,"2021-01-01 12:16:00",1,0,3
25,SoRu36278,SoRu36278224,"2021-01-01 12:24:00",1,0,48
26,AkLu02155,AkLu02155224,"2021-01-01 12:29:00",1,0,16
27,KiHa23159,KiHa23159224,"2021-01-01 12:34:00",1,0,5
28,AkLu02259,AkLu02259224,"2021-01-01 12:42:00",1,0,12
29,AkRu06938,AkRu06938224,"2021-01-01 12:56:00",1,0,30
30,AkKi01222,AkKi01222224,"2021-01-01 13:04:00",1,0,48
31,AkRu05825,AkRu05825224,"2021-01-01 13:07:00",1,0,36
32,HaRu17116,HaRu17116224,"2021-01-01 13:38:00",1,28,40
33,AmAb08963,AmAb08963224,"2021-01-01 13:40:00",1,0,18
34,AkRu05973,AkRu05973224,"2021-01-01 13:44:00",1,0,30
35,SoRu36313,SoRu36313224,"2021-01-01 13:46:00",1,0,18
36,KiMr24968,KiMr24968224,"2021-01-01 13:52:00",1,0,30
37,HaRu18204,HaRu18204224,"2021-01-01 13:53:00",1,16,8
38,KiRu30598,KiRu30598224,"2021-01-01 13:54:00",1,56,30
39,KiMr25096,KiMr25096224,"2021-01-01 14:00:00",1,11,32
40,SoRu35294,SoRu35294224,"2021-01-01 14:07:00",1,24,5
41,AmDa12232,AmDa12232224,"2021-01-01 14:10:00",1,0,4
42,SoRu36138,SoRu36138224,"2021-01-01 14:14:00",1,0,5
43,KiRu27916,KiRu27916224,"2021-01-01 14:19:00",1,0,48
44,KiMr24569,KiMr24569224,"2021-01-01 14:30:00",1,0,30
45,SoRu35508,SoRu35508224,"2021-01-01 14:49:00",1,0,1
46,SoCh32153,SoCh32153224,"2021-01-01 14:56:00",1,0,1
47,KiRu27248,KiRu27248224,"2021-01-01 15:11:00",1,211,26
48,AmDa11460,AmDa11460224,"2021-01-01 15:17:00",1,0,6
49,KiIs23592,KiIs23592224,"2021-01-01 15:41:00",1,0,10
50,AmDa11976,AmDa11976224,"2021-01-01 16:00:00",1,0,28
51,AkHa00706,AkHa00706224,"2021-01-01 16:10:00",1,0,8
52,AkRu03463,AkRu03463224,"2021-01-01 16:10:00",1,16,48
