source_id,date,description,pollutant_ppm,biological,results
KiRu28935224,"2021-01-04 09:17:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
AkLu01628224,"2021-01-04 09:53:00","Bacteria: E. coli",0,6.09608,"Contaminated: Biological"
HaZa21742224,"2021-01-04 10:37:00","Inorganic contaminants: Zinc, Zinc, Lead, Cadmium",2.715,0,"Contaminated: Chemical"
HaRu19725224,"2021-01-04 11:04:00",Clean,0.0288593,0.0000956996,Clean
SoRu35703224,"2021-01-04 11:29:00","Bacteria: E. coli",0,22.5009,"Contaminated: Biological"
AkHa00070224,"2021-01-04 11:42:00","Inorganic contaminants: Cadmium",5.46739,0,"Contaminated: Chemical"
HaSe21346224,"2021-01-04 11:52:00",Clean,0.0140376,0.0000898989,Clean
HaYa21468224,"2021-01-04 12:03:00","Inorganic contaminants: Chromium, Barium, Chromium, Lead",6.05137,0,"Contaminated: Chemical"
SoRu36278224,"2021-01-04 12:24:00","Parasite: Cryptosporidium",0,485.162,"Contaminated: Biological"
AkLu02155224,"2021-01-04 12:29:00","Inorganic contaminants: Selenium, Arsenic",7.64106,0,"Contaminated: Chemical"
AkRu06938224,"2021-01-04 12:56:00","Inorganic contaminants: Silver, Zinc, Zinc, Lead",1.99096,0,"Contaminated: Chemical"
AkRu05825224,"2021-01-04 13:07:00","Inorganic contaminants: Silver",5.89926,0,"Contaminated: Chemical"
AkRu05973224,"2021-01-04 13:44:00",Clean,0.084344,0.000062396,Clean
SoRu36313224,"2021-01-04 13:46:00","Bacteria: Vibrio cholerae",0,182.88,"Contaminated: Biological"
KiMr24968224,"2021-01-04 13:52:00","Bacteria: E. coli",0,44.2164,"Contaminated: Biological"
KiRu27916224,"2021-01-04 14:19:00","Inorganic contaminants: Zinc",1.06885,0,"Contaminated: Chemical"
SoRu35508224,"2021-01-04 14:49:00","Inorganic contaminants: Chromium, Zinc",4.15909,0,"Contaminated: Chemical"
AkHa00706224,"2021-01-04 16:10:00",Clean,0.0862577,0.0000422834,Clean
AkHa00465224,"2021-01-04 16:28:00","Inorganic contaminants: Lead, Mercury, Copper",4.97264,0,"Contaminated: Chemical"
SoRu39241224,"2021-01-04 16:40:00","Inorganic contaminants: Copper",1.28796,0,"Contaminated: Chemical"
HaRu20773224,"2021-01-07 09:08:00",Clean,0.0599682,0.0000242289,Clean
SoRu39205224,"2021-01-07 09:59:00","Inorganic contaminants: Barium",8.10898,0,"Contaminated: Chemical"
HaDj16683224,"2021-01-07 10:16:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
HaRu18434224,"2021-01-07 11:16:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
AkRu04914224,"2021-01-07 11:35:00",Clean,0.050281,0.0000942943,Clean
HaSe20931224,"2021-01-07 11:46:00",Clean,0.0224843,0.0000987848,Clean
AkRu04543224,"2021-01-07 12:20:00","Inorganic contaminants: Copper, Mercury, Lead, Cadmium",3.94125,0,"Contaminated: Chemical"
KiAm22119224,"2021-01-07 12:34:00","Inorganic contaminants: Selenium, Selenium, Zinc, Chromium",2.17517,0,"Contaminated: Chemical"
AkLu02211224,"2021-01-07 12:49:00","Bacteria: E. coli",0,3.57905,"Contaminated: Biological"
HaDe16499224,"2021-01-07 12:53:00","Parasite: Cryptosporidium",0,485.162,"Contaminated: Biological"
SoRu39347224,"2021-01-07 12:54:00","Inorganic contaminants: Selenium, Silver",7.07203,0,"Contaminated: Chemical"
AmAm09579224,"2021-01-07 13:02:00",Clean,0.0830754,0.0000110413,Clean
SoCh32247224,"2021-01-07 14:23:00","Inorganic contaminants: Barium, Arsenic, Zinc",2.8855,0,"Contaminated: Chemical"
HaRu20738224,"2021-01-07 14:57:00","Bacteria: E. coli",0,35.2462,"Contaminated: Biological"
HaAm16229224,"2021-01-07 15:10:00","Inorganic contaminants: Mercury",2.43936,0,"Contaminated: Chemical"
HaRu20104224,"2021-01-07 15:17:00","Inorganic contaminants: Copper, Barium",5.30061,0,"Contaminated: Chemical"
KiHa23405224,"2021-01-07 15:29:00",Clean,0.0633972,0.0000588518,Clean
KiRu27870224,"2021-01-07 15:46:00","Bacteria: Shigella",0,318.664,"Contaminated: Biological"
AmDa11574224,"2021-01-07 15:51:00",Clean,0.0290295,0.0000611353,Clean
HaDj16798224,"2021-01-07 16:30:00","Inorganic contaminants: Silver, Zinc",9.30166,0,"Contaminated: Chemical"
KiRu26713224,"2021-01-07 16:52:00",Clean,0.0854418,0.0000291209,Clean
HaRu20701224,"2021-01-08 09:01:00","Virus: Hepatitis A Virus",0,96.6341,"Contaminated: Biological"
SoMa34243224,"2021-01-08 09:17:00",Clean,0.0708139,0.0000621986,Clean
AkRu08936224,"2021-01-08 09:22:00","Bacteria: E. coli",0.0406458,35.0068,Clean
KiAm22120224,"2021-01-08 09:23:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
AkRu03143224,"2021-01-08 09:24:00","Inorganic contaminants: Cadmium, Arsenic, Selenium, Silver",6.2995,0,"Contaminated: Chemical"
AkRu03586224,"2021-01-08 10:12:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
AmBe11186224,"2021-01-08 10:24:00",Clean,0.0761867,0.0000315558,Clean
KiRu30163224,"2021-01-08 11:22:00","Inorganic contaminants: Arsenic, Lead",5.4852,0,"Contaminated: Chemical"
KiRu26783224,"2021-01-08 11:52:00",Clean,0.0340469,0.0000868879,Clean
AmRu14190224,"2021-01-08 12:49:00","Inorganic contaminants: Zinc, Zinc, Lead, Cadmium",7.56375,0,"Contaminated: Chemical"
KiRu26584224,"2021-01-08 13:10:00","Parasite: Cryptosporidium",0,485.162,"Contaminated: Biological"
AkLu02295224,"2021-01-08 13:31:00",Clean,0.0209784,0.0000397724,Clean
AkRu07845224,"2021-01-08 13:52:00","Inorganic contaminants: Arsenic",8.41125,0,"Contaminated: Chemical"
KiMr25146224,"2021-01-08 14:02:00","Inorganic contaminants: Selenium, Barium, Lead, Zinc",5.31081,0,"Contaminated: Chemical"
HaRu20767224,"2021-01-08 14:08:00","Inorganic contaminants: Chromium",9.53661,0,"Contaminated: Chemical"
KiRu26837224,"2021-01-08 14:09:00","Inorganic contaminants: Lead, Zinc",2.76116,0,"Contaminated: Chemical"
AkRu04918224,"2021-01-08 15:10:00","Inorganic contaminants: Copper, Mercury",5.65229,0,"Contaminated: Chemical"
KiRu28471224,"2021-01-08 15:54:00","Inorganic contaminants: Barium",5.54799,0,"Contaminated: Chemical"
AkRu07713224,"2021-01-08 16:27:00","Inorganic contaminants: Lead, Lead, Lead",4.97475,0,"Contaminated: Chemical"
KiRu25465224,"2021-01-09 10:15:00","Bacteria: Giardia Lamblia",0,495.898,"Contaminated: Biological"
AkRu07262224,"2021-01-09 10:18:00","Inorganic contaminants: Arsenic",8.1551,0,"Contaminated: Chemical"
HaRu17749224,"2021-01-09 10:38:00","Inorganic contaminants: Barium",5.43926,0,"Contaminated: Chemical"
HaSe21277224,"2021-01-09 10:46:00",Clean,0.0391768,0.0000381981,Clean
AkRu07933224,"2021-01-09 10:52:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
HaDe16434224,"2021-01-09 10:57:00","Bacteria: E. coli",0,15.4936,"Contaminated: Biological"
AkHa00744224,"2021-01-09 11:14:00",Clean,0.0370928,0.0000716733,Clean
AkKi01036224,"2021-01-09 11:40:00","Inorganic contaminants: Barium, Mercury, Mercury",1.69538,0,"Contaminated: Chemical"
AkRu08868224,"2021-01-09 11:51:00",Clean,0.088961,0.0000437723,Clean
HaSe20883224,"2021-01-09 12:33:00",Clean,0.0732487,0.00000384149,Clean
SoRu37469224,"2021-01-09 12:36:00","Inorganic contaminants: Mercury, Copper",4.78533,0,"Contaminated: Chemical"
AkRu06795224,"2021-01-09 12:58:00",Clean,0.0834844,0.0000878906,Clean
AkRu05768224,"2021-01-09 13:08:00","Inorganic contaminants: Silver, Selenium, Cadmium",9.43334,0,"Contaminated: Chemical"
KiMr24871224,"2021-01-09 13:24:00","Inorganic contaminants: Silver, Cadmium",5.9686,0,"Contaminated: Chemical"
SoRu37832224,"2021-01-09 13:50:00","Virus: Enteroviruses",0,262.668,"Contaminated: Biological"
AkRu07238224,"2021-01-09 13:55:00",Clean,0.0167354,0.0000279285,Clean
KiRu29268224,"2021-01-09 14:17:00","Inorganic contaminants: Selenium",3.61361,0,"Contaminated: Chemical"
KiRu30187224,"2021-01-09 14:21:00",Clean,0.0116701,0.0000759707,Clean
KiMr25057224,"2021-01-09 14:28:00","Bacteria: Salmonella",0,267.371,"Contaminated: Biological"
AkRu04348224,"2021-01-09 14:30:00",Clean,0.0847516,0.000096068,Clean
KiZu31261224,"2021-01-09 14:34:00","Inorganic contaminants: Zinc, Selenium, Arsenic, Cadmium",4.98908,0,"Contaminated: Chemical"
HaRu19199224,"2021-01-09 14:45:00","Inorganic contaminants: Cadmium",4.43419,0,"Contaminated: Chemical"
KiRu29696224,"2021-01-09 14:47:00","Inorganic contaminants: Copper",8.21822,0,"Contaminated: Chemical"
KiRu26106224,"2021-01-09 14:59:00",Clean,0.0743687,0.0000524281,Clean
KiRu27423224,"2021-01-09 15:05:00","Bacteria: E. coli",0,21.7296,"Contaminated: Biological"
HaRu18078224,"2021-01-09 15:35:00","Inorganic contaminants: Arsenic",1.83791,0,"Contaminated: Chemical"
AkHa00555224,"2021-01-09 16:19:00","Inorganic contaminants: Lead, Chromium",4.77361,0,"Contaminated: Chemical"
KiIs24152224,"2021-01-09 16:40:00",Clean,0.0570679,0.0000739365,Clean
