record_id,subjective_quality_score,visit_count
0,0,1
1,1,1
2,5,1
3,10,1
4,4,1
5,0,1
6,9,1
7,10,1
8,2,1
9,10,1
10,3,1
11,7,1
12,10,1
13,10,1
14,10,1
15,1,1
16,10,1
17,2,1
18,10,1
19,3,1
20,10,1
21,3,1
22,2,1
23,10,1
24,10,1
25,10,1
26,2,1
27,10,1
28,9,1
29,2,1
30,9,1
31,2,1
32,4,1
33,10,1
34,3,1
35,1,1
36,1,1
37,7,1
38,5,1
39,0,1
40,0,1
41,10,1
42,10,1
43,2,1
44,10,1
45,2,1
46,10,1
47,3,1
48,10,1
49,10,1
50,10,1
51,3,1
52,7,1
53,2,1
54,10,1
55,10,1
56,9,1
57,2,1
58,5,2
59,10,2
60,5,2
61,3,2
62,3,2
63,3,3
64,5,3
65,3,3
66,5,3
67,10,3
68,5,4
69,3,1
70,5,4
71,9,1
72,10,1
73,9,1
74,2,1
75,1,1
76,10,1
77,9,1
78,9,1
79,6,1
80,1,1
81,10,1
82,10,1
83,3,1
84,3,1
85,10,4
86,2,1
87,2,1
88,10,1
89,10,1
90,5,1
91,1,1
92,9,1
93,1,1
94,2,1
95,3,1
96,9,1
97,9,1
98,10,1
99,9,1
100,10,1
101,9,1
102,10,1
103,1,1
104,10,1
105,9,1
106,3,4
107,2,1
108,2,1
109,3,1
110,0,1
111,1,1
112,10,1
113,10,1
114,3,1
115,9,1
116,9,1
117,9,1
118,0,1
119,10,1
120,2,1
121,0,1
122,9,1
123,9,1
124,9,1
125,3,1
126,3,4
127,5,5
128,10,5
129,1,1
130,9,1
131,3,1
132,3,1
133,1,1
134,2,1
135,6,1
136,9,1
137,10,2
138,10,1
139,1,1
140,10,1
141,9,1
142,3,1
143,6,1
144,5,5
145,7,1
146,10,1
147,10,1
148,0,1
149,9,1
150,3,1
151,10,1
152,2,1
153,10,1
154,3,1
155,10,1
156,9,1
157,5,1
158,10,1
159,9,1
160,10,1
161,2,1
162,0,1
163,1,1
164,10,1
165,6,1
166,3,1
167,2,1
168,9,1
169,10,1
170,2,1
171,3,1
172,2,1
173,2,1
174,10,1
175,9,1
176,10,1
177,10,1
178,10,1
179,5,2
180,10,1
181,2,1
182,10,1
183,0,1
184,2,1
185,10,1
186,10,1
187,9,1
188,10,1
189,2,1
190,0,1
191,4,1
192,3,1
193,3,5
194,10,1
195,3,5
196,5,6
197,3,6
198,3,1
199,0,1
200,10,1
201,0,1
202,10,1
203,3,1
204,9,1
205,9,1
206,10,1
207,1,1
208,10,1
209,9,1
210,10,1
211,2,1
212,4,1
213,3,1
214,7,1
215,10,1
216,1,1
217,3,2
218,1,1
219,0,1
220,3,1
221,3,1
222,10,1
223,5,6
224,9,1
225,2,1
226,3,1
227,7,1
228,9,1
229,5,2
230,9,1
231,3,1
232,10,3
233,2,1
234,3,1
235,6,1
236,2,1
237,9,1
238,2,1
239,1,1
240,3,1
241,10,1
242,10,1
243,2,1
244,3,1
245,5,3
246,1,1
247,3,1
248,10,1
249,2,1
250,2,1
251,10,1
252,3,1
253,3,6
254,3,1
255,3,1
256,1,1
257,5,1
258,10,1
259,4,1
260,2,1
261,5,1
262,3,2
263,10,6
264,9,1
265,10,1
266,2,1
267,3,1
268,3,1
269,10,2
270,3,2
271,10,3
272,5,2
273,5,3
274,3,7
275,2,1
276,10,1
277,2,1
278,9,1
279,1,1
280,10,1
281,1,1
282,9,1
283,9,1
284,3,1
285,10,1
286,3,1
287,3,2
288,10,1
289,3,3
290,3,1
291,10,1
292,2,1
293,10,1
294,3,1
295,2,1
296,9,1
297,10,1
298,9,1
299,9,1
300,10,1
301,10,1
302,1,1
303,3,1
304,2,1
305,3,1
306,10,1
307,5,7
308,3,1
309,10,1
310,3,2
311,3,7
312,3,3
313,5,4
314,2,1
315,10,1
316,2,1
317,10,4
318,10,7
319,2,1
320,2,1
321,3,1
322,2,1
323,2,1
324,7,1
325,9,1
326,10,1
327,10,1
328,10,1
329,10,1
330,1,1
331,9,1
332,3,2
333,9,1
334,10,1
335,9,1
336,3,2
337,3,1
338,3,1
339,1,1
340,9,1
341,10,1
342,1,1
343,10,1
344,3,1
345,0,1
346,0,1
347,2,1
348,1,1
349,3,1
350,10,1
351,5,7
352,5,8
353,3,2
354,3,3
355,3,8
356,5,4
357,3,3
358,10,4
359,1,1
360,9,1
361,3,3
362,1,1
363,10,2
364,2,1
365,6,1
366,0,1
367,3,1
368,9,1
369,3,1
370,2,1
371,9,1
372,3,1
373,1,1
374,1,1
375,10,1
376,3,1
377,9,1
378,10,2
379,10,1
380,3,1
381,3,1
382,10,1
383,10,1
384,3,1
385,1,1
386,5,8
387,9,1
388,6,1
389,9,1
390,6,1
391,1,1
392,3,1
393,10,1
394,9,1
395,2,1
396,3,4
397,10,1
398,10,8
399,10,1
400,5,5
401,3,1
402,5,3
403,1,1
404,0,1
405,10,1
406,10,1
407,3,3
408,10,1
409,9,1
410,1,1
411,2,1
412,9,1
413,2,1
414,9,1
415,10,1
416,9,1
417,1,1
418,3,1
419,1,1
420,9,1
421,3,2
422,10,1
423,3,3
424,1,1
425,2,1
426,10,1
427,3,1
428,3,1
429,0,1
430,2,1
431,10,5
432,9,1
433,0,1
434,3,4
435,3,8
436,10,6
437,5,4
438,3,5
439,10,5
440,3,4
441,10,3
442,3,5
443,3,2
444,3,4
445,3,4
446,5,6
447,3,2
448,3,4
449,5,5
450,10,3
451,3,3
452,3,3
453,3,4
454,3,5
455,5,7
456,3,4
457,3,5
458,3,3
459,10,7
460,10,4
461,3,5
462,3,5
463,10,6
464,3,6
465,3,6
466,3,4
467,5,6
468,3,5
469,5,5
470,10,4
471,3,3
472,3,7
473,3,6
474,5,6
475,3,5
476,10,8
477,3,5
478,3,4
479,1,1
480,9,1
481,1,1
482,10,1
483,10,1
484,3,1
485,2,1
486,9,1
487,10,1
488,10,5
489,10,1
490,3,1
491,3,1
492,10,1
493,6,1
494,3,1
495,1,1
496,10,1
497,10,1
498,10,5
499,7,1
500,2,1
501,4,1
502,10,1
503,5,1
504,10,1
505,3,7
506,3,1
507,3,1
508,10,7
509,9,1
510,9,1
511,10,1
512,4,1
513,10,1
514,2,1
515,3,1
516,10,1
517,10,1
518,3,6
519,2,1
520,1,1
521,9,1
522,3,6
523,10,1
524,5,7
525,2,1
526,3,1
527,10,1
528,9,1
529,1,1
530,5,1
531,10,1
532,2,1
533,2,1
534,9,1
535,10,1
536,10,1
537,10,1
538,3,1
539,0,1
540,3,1
541,10,1
542,10,1
543,10,1
544,5,1
545,3,1
546,1,1
547,9,1
548,3,1
549,6,1
550,2,1
551,0,1
552,2,1
553,2,1
554,10,1
555,10,1
556,4,1
557,10,1
558,3,6
559,5,1
560,3,6
561,5,8
562,3,4
563,5,8
564,5,2
565,3,8
566,10,6
567,5,7
568,3,6
569,10,1
570,0,1
571,2,1
572,9,1
573,0,1
574,9,1
575,10,1
576,2,1
577,3,7
578,3,7
579,1,1
580,1,1
581,10,1
582,3,1
583,3,2
584,3,1
585,3,1
586,3,1
587,10,1
588,1,1
589,10,1
590,3,7
591,3,1
592,1,1
593,3,1
594,3,1
595,2,1
596,2,1
597,10,1
598,2,1
599,1,1
600,3,7
601,5,2
602,3,1
603,10,1
604,7,1
605,0,1
606,0,1
607,10,1
608,3,1
609,1,1
610,1,1
611,2,1
612,3,7
613,6,1
614,10,1
615,0,1
616,2,1
617,2,1
618,10,2
619,9,1
620,0,1
621,10,1
622,10,1
623,1,1
624,0,1
625,9,1
626,3,1
627,7,1
628,10,1
629,10,1
630,10,8
631,0,1
632,10,6
633,2,1
634,10,1
635,5,2
636,1,1
637,5,2
638,3,5
639,2,1
640,0,1
641,3,1
642,9,1
643,3,1
644,6,1
645,9,1
646,1,1
647,3,1
648,10,1
649,0,1
650,10,1
651,3,6
652,3,5
653,3,8
654,3,7
655,3,7
656,10,3
657,5,3
658,5,8
659,10,1
660,0,1
661,10,1
662,10,7
663,0,1
664,9,1
665,3,8
666,10,1
667,0,1
668,1,1
669,10,1
670,3,1
671,10,1
672,2,1
673,10,1
674,2,1
675,1,1
676,2,1
677,10,1
678,6,1
679,3,1
680,3,1
681,3,1
682,0,1
683,9,1
684,10,1
685,5,1
686,2,1
687,2,1
688,3,1
689,3,1
690,4,1
691,3,3
692,5,1
693,5,3
694,3,1
695,9,1
696,9,1
697,10,1
698,10,1
699,10,1
700,5,3
701,10,1
702,3,1
703,1,1
704,10,1
705,3,6
706,0,1
707,0,1
708,3,2
709,1,1
710,3,6
711,10,1
712,3,8
713,3,8
714,1,1
715,1,1
716,9,1
717,10,1
718,9,1
719,10,1
720,9,1
721,10,1
722,10,1
723,9,1
724,10,1
725,10,1
726,1,1
727,10,1
728,3,2
729,3,1
730,10,7
731,5,3
732,3,8
733,3,2
734,3,2
735,3,8
736,3,3
737,3,8
738,3,8
739,5,4
740,3,7
741,10,8
742,3,1
743,4,1
744,2,1
745,3,1
746,5,4
747,3,4
748,2,1
749,10,8
750,10,1
751,10,1
752,10,2
753,5,4
754,10,1
755,10,1
756,2,1
757,3,7
758,10,4
759,9,1
760,10,1
761,9,1
762,10,1
763,3,1
764,5,2
765,2,1
766,3,3
767,2,1
768,7,1
769,10,1
770,3,1
771,1,1
772,0,1
773,10,1
774,4,1
775,2,1
776,3,2
777,10,1
778,3,1
779,10,1
780,0,1
781,3,3
782,2,1
783,2,1
784,5,4
785,1,1
786,10,1
787,3,1
788,6,1
789,9,1
790,5,1
791,10,1
792,9,1
793,5,2
794,10,1
795,3,1
796,10,1
797,9,1
798,10,1
799,1,1
800,0,1
801,10,2
802,2,1
803,10,1
804,10,1
805,3,1
806,0,1
807,9,1
808,3,1
809,2,1
810,3,3
811,1,1
812,1,1
813,10,1
814,2,1
815,5,5
816,5,2
817,10,5
818,10,3
819,10,2
820,5,5
821,10,1
822,2,1
823,3,1
824,10,1
825,1,1
826,10,1
827,10,1
828,10,1
829,5,5
830,4,1
831,1,1
832,9,1
833,2,1
834,10,1
835,9,1
836,3,1
837,1,1
838,1,1
839,3,4
840,0,1
841,2,1
842,0,1
843,3,2
844,10,1
845,2,1
846,2,1
847,10,1
848,10,1
849,3,1
850,10,2
851,0,1
852,0,1
853,2,1
854,2,1
855,0,1
856,3,1
857,1,1
858,3,5
859,2,1
860,3,8
861,7,1
862,0,1
863,4,1
864,1,1
865,2,1
866,3,1
867,2,1
868,3,1
869,10,3
870,10,1
871,3,4
872,2,1
873,3,4
874,2,1
875,9,1
876,7,1
877,3,1
878,9,1
879,2,1
880,5,3
881,10,1
882,1,1
883,4,2
884,5,1
885,3,3
886,1,1
887,9,1
888,10,1
889,3,2
890,3,8
891,5,5
892,3,4
893,5,3
894,10,3
895,3,5
896,3,4
897,5,4
898,5,6
899,3,6
900,3,5
901,4,3
902,3,3
903,5,6
904,10,4
905,10,3
906,3,5
907,5,3
908,3,2
909,5,2
910,5,6
911,10,6
912,4,2
913,3,5
914,5,6
915,3,2
916,5,4
917,3,3
918,10,4
919,5,5
920,4,3
921,10,7
922,5,7
923,3,6
924,3,7
925,4,4
926,3,3
927,3,4
928,3,6
929,3,3
930,10,4
931,5,5
932,10,5
933,3,6
934,5,4
935,5,7
936,3,5
937,10,5
938,3,6
939,5,3
940,3,4
941,10,4
942,5,7
943,5,7
944,5,8
945,5,8
946,3,7
947,5,6
948,3,4
949,5,8
950,3,4
951,4,5
952,10,6
953,3,1
954,4,4
955,10,6
956,3,7
957,5,6
958,3,1
959,10,8
960,10,1
961,5,1
962,9,1
963,10,1
964,3,1
965,2,1
966,2,1
967,9,1
968,9,1
969,10,1
970,3,5
971,1,1
972,9,1
973,2,1
974,4,1
975,1,1
976,10,1
977,0,1
978,10,1
979,3,7
980,3,1
981,0,1
982,4,1
983,1,1
984,3,5
985,9,1
986,9,1
987,3,1
988,3,1
989,10,5
990,2,1
991,2,1
992,2,1
993,3,8
994,5,4
995,10,1
996,3,1
997,10,1
998,5,8
999,3,1
1000,2,1
1001,9,1
1002,5,5
1003,0,1
1004,10,1
1005,10,1
1006,2,1
1007,1,1
1008,10,1
1009,3,1
1010,1,1
1011,10,1
1012,2,1
1013,0,1
1014,6,1
1015,9,1
1016,3,7
1017,10,5
1018,3,6
1019,3,8
1020,10,6
1021,4,5
1022,10,7
1023,3,8
1024,5,7
1025,5,7
1026,3,5
1027,5,6
1028,9,1
1029,3,5
1030,3,1
1031,10,1
1032,3,1
1033,10,1
1034,3,2
1035,1,1
1036,3,1
1037,3,8
1038,1,1
1039,10,1
1040,0,1
1041,10,1
1042,2,1
1043,3,6
1044,2,1
1045,9,1
1046,10,1
1047,2,1
1048,10,1
1049,3,1
1050,10,1
1051,3,1
1052,5,5
1053,3,1
1054,1,1
1055,10,6
1056,10,1
1057,1,1
1058,1,1
1059,10,1
1060,2,1
1061,10,1
1062,3,6
1063,7,1
1064,0,1
1065,2,1
1066,3,1
1067,2,1
1068,3,1
1069,2,1
1070,1,1
1071,2,1
1072,9,1
1073,2,1
1074,9,1
1075,0,1
1076,10,7
1077,2,1
1078,0,1
1079,3,1
1080,9,1
1081,10,1
1082,10,1
1083,3,1
1084,1,1
1085,0,1
1086,3,8
1087,10,1
1088,2,1
1089,10,1
1090,1,1
1091,2,1
1092,3,7
1093,9,1
1094,5,2
1095,4,6
1096,3,2
1097,5,6
1098,4,7
1099,3,6
1100,3,6
1101,3,3
1102,10,7
1103,3,1
1104,10,1
1105,10,1
1106,3,1
1107,3,3
1108,10,1
1109,10,7
1110,10,1
1111,1,1
1112,10,1
1113,3,2
1114,2,1
1115,9,1
1116,3,2
1117,2,1
1118,0,1
1119,9,1
1120,1,1
1121,2,1
1122,3,1
1123,2,1
1124,3,1
1125,1,1
1126,10,1
1127,2,1
1128,2,1
1129,3,2
1130,3,1
1131,2,1
1132,5,8
1133,2,1
1134,2,1
1135,10,1
1136,3,7
1137,3,1
1138,2,1
1139,5,7
1140,10,1
1141,2,1
1142,10,1
1143,10,8
1144,3,1
1145,3,2
1146,2,1
1147,2,1
1148,2,1
1149,2,1
1150,10,1
1151,3,1
1152,10,1
1153,10,8
1154,9,1
1155,9,1
1156,3,8
1157,4,6
1158,2,1
1159,3,1
1160,9,1
1161,9,1
1162,10,1
1163,1,1
1164,10,1
1165,3,2
1166,10,1
1167,10,1
1168,10,1
1169,10,1
1170,5,3
1171,5,8
1172,2,1
1173,0,1
1174,9,1
1175,10,1
1176,10,2
1177,3,2
1178,3,7
1179,3,2
1180,5,4
1181,5,7
1182,3,8
1183,3,4
1184,10,3
1185,10,8
1186,4,1
1187,3,1
1188,5,1
