source_id,type_of_water_source,number_of_people_served
AkHa00000224,tap_in_home,956
AkHa00001224,tap_in_home_broken,930
AkHa00002224,tap_in_home_broken,486
AkHa00003224,well,364
AkHa00004224,tap_in_home_broken,942
AkHa00005224,tap_in_home,736
AkHa00006224,tap_in_home,882
AkHa00007224,tap_in_home,554
AkHa00008224,well,398
AkHa00009224,well,346
AkHa00010224,well,236
AkHa00011224,well,168
AkHa00012224,well,192
AkHa00013224,shared_tap,2212
AkHa00014224,tap_in_home_broken,574
AkHa00015224,tap_in_home,862
AkHa00016224,well,278
AkHa00017224,tap_in_home_broken,414
AkHa00018224,well,390
AkHa00019224,tap_in_home_broken,320
AkHa00020224,well,234
AkHa00021224,tap_in_home_broken,330
AkHa00022224,well,304
AkHa00023224,tap_in_home_broken,954
AkHa00024224,well,292
AkHa00025224,tap_in_home,354
AkHa00026224,well,388
AkHa00027224,well,224
AkHa00028224,well,306
AkHa00029224,tap_in_home_broken,816
AkHa00030224,well,366
AkHa00031224,well,354
AkHa00032224,well,382
AkHa00033224,well,384
AkHa00034224,well,210
AkHa00035224,tap_in_home_broken,920
AkHa00036224,shared_tap,3488
AkHa00037224,well,348
AkHa00038224,well,308
AkHa00039224,well,252
AkHa00040224,tap_in_home_broken,338
AkHa00041224,tap_in_home,672
AkHa00042224,tap_in_home,766
AkHa00043224,tap_in_home_broken,364
AkHa00044224,well,304
AkHa00045224,well,370
AkHa00046224,well,186
AkHa00047224,well,324
AkHa00048224,well,174
AkHa00049224,tap_in_home_broken,892
AkHa00050224,tap_in_home_broken,716
AkHa00051224,tap_in_home,900
AkHa00052224,tap_in_home,374
AkHa00053224,tap_in_home_broken,748
AkHa00054224,well,378
AkHa00055224,tap_in_home,562
AkHa00056224,well,328
AkHa00057224,tap_in_home_broken,876
AkHa00058224,well,290
AkHa00059224,well,316
AkHa00060224,tap_in_home_broken,376
AkHa00061224,tap_in_home,908
AkHa00062224,tap_in_home_broken,576
AkHa00063224,well,306
AkHa00064224,tap_in_home_broken,538
AkHa00065224,tap_in_home_broken,874
AkHa00066224,tap_in_home,722
AkHa00067224,well,302
AkHa00068224,well,264
AkHa00069224,well,306
AkHa00070224,well,390
AkHa00071224,well,212
AkHa00072224,tap_in_home_broken,816
AkHa00073224,well,354
AkHa00074224,tap_in_home_broken,322
AkHa00075224,tap_in_home_broken,358
AkHa00076224,well,298
AkHa00077224,well,262
AkHa00078224,tap_in_home_broken,612
AkHa00079224,tap_in_home,332
